ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
1258531221,CnhrU3z1KvucKh9O2,192.168.1.102,68,192.168.1.1,67,udp,dhcp,0.16382,301,300,SF,T,T,0,Dd,1,329,1,328,-
1258531680,CbTkuB4D3ZbBuctEz3,192.168.1.103,137,192.168.1.255,137,udp,dns,3.780125,350,0,S0,T,T,0,D,7,546,0,0,-
1258531694,CBCvjL14J3VLEH9CD5,192.168.1.102,137,192.168.1.255,137,udp,dns,3.748647,350,0,S0,T,T,0,D,7,546,0,0,-
1258531636,CQUN2e1nR7ssOSz4yg,192.168.1.103,138,192.168.1.255,138,udp,-,46.72538,560,0,S0,T,T,0,D,3,644,0,0,-
1258531694,C2MJvU3MCK7ALk6Edl,192.168.1.102,138,192.168.1.255,138,udp,-,2.248589,348,0,S0,T,T,0,D,2,404,0,0,-
1258531804,ClxrpI2NcJTcQMXHg6,192.168.1.104,137,192.168.1.255,137,udp,dns,3.748893,350,0,S0,T,T,0,D,7,546,0,0,-
1258531747,CCo6XY1YyGAwLoN165,192.168.1.104,138,192.168.1.255,138,udp,-,59.052898,549,0,S0,T,T,0,D,3,633,0,0,-
1258531924,CuaaOV1gjb16pXmwpc,192.168.1.103,68,192.168.1.1,67,udp,dhcp,0.044779,303,300,SF,T,T,0,Dd,1,331,1,328,-
1258531940,Cpt3tW2gOZ3pcdIfaj,192.168.1.102,138,192.168.1.255,138,udp,-,-,-,-,S0,T,T,0,D,1,229,0,0,-
1258532047,CCfb3G4OKiNNCfbCy7,192.168.1.104,68,192.168.1.1,67,udp,dhcp,0.002103,311,300,SF,T,T,0,Dd,1,339,1,328,-
1258532143,CGzCkz2TIyu0TZuied,192.168.1.102,1170,192.168.1.1,53,udp,dns,0.068511,36,215,SF,T,T,0,Dd,1,64,1,243,-
1258532204,CuOFaB2yyKfuPAdzd3,192.168.1.104,1174,192.168.1.1,53,udp,dns,0.170962,36,215,SF,T,T,0,Dd,1,64,1,243,-
1258532331,CrBFYY3A5fbh71Wyme,192.168.1.1,5353,224.0.0.251,5353,udp,dns,0.100381,273,0,S0,T,T,0,D,2,329,0,0,-
1258532331,CjA4K82TqlyaE3dyUb,fe80::219:e3ff:fee7:5d23,5353,ff02::fb,5353,udp,dns,0.100371,273,0,S0,F,F,0,D,2,369,0,0,-
1258532405,CzbkM11IQtljpZZLRe,192.168.1.103,137,192.168.1.255,137,udp,dns,3.873818,350,0,S0,T,T,0,D,7,546,0,0,-
1258532418,C5pvwh36OTOvR6DCKh,192.168.1.102,137,192.168.1.255,137,udp,dns,3.748891,350,0,S0,T,T,0,D,7,546,0,0,-
1258532405,Ct6D7S2tFkfcm48aN8,192.168.1.103,138,192.168.1.255,138,udp,-,2.25784,348,0,S0,T,T,0,D,2,404,0,0,-
1258532456,Ca6eLh1ThE5xo3PSW5,192.168.1.102,1173,192.168.1.1,53,udp,dns,0.000267,33,497,SF,T,T,0,Dd,1,61,1,525,-
1258532418,CbyToB3Ax6GfvTpjXi,192.168.1.102,138,192.168.1.255,138,udp,-,2.248843,348,0,S0,T,T,0,D,2,404,0,0,-
1258532526,Csp7shm4HuMufpkoj,192.168.1.1,5353,224.0.0.251,5353,udp,dns,0.099824,273,0,S0,T,T,0,D,2,329,0,0,-
1258532526,CrYUYV3XqfeJkQDqCh,fe80::219:e3ff:fee7:5d23,5353,ff02::fb,5353,udp,dns,0.099813,273,0,S0,F,F,0,D,2,369,0,0,-
1258532528,CRpJ521sgYwXe8z5qf,192.168.1.104,137,192.168.1.255,137,udp,dns,3.748895,350,0,S0,T,T,0,D,7,546,0,0,-
